"uniprot_id","species","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_labels_network","annotation_stringdb","protein_name_uniprot","cc_function_uniprot","go_p_uniprot","go_f_uniprot","description_eggnog","preferred_name_eggnog","pfams_eggnog","interpro_description_ips","signature_description_ips","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"A0A182GN25","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG012769","Uncharacterized protein.","Indole-3-acetaldehyde oxidase",NA,NA,"2 iron, 2 sulfur cluster binding; FAD binding; iron ion binding; oxidoreductase activity","CO dehydrogenase flavoprotein C-terminal domain",NA,"Ald_Xan_dh_C,Ald_Xan_dh_C2,CO_deh_flav_C,FAD_binding_5,Fer2,Fer2_2","[2Fe-2S]-binding","[2Fe-2S] binding domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GNT2","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG013108","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GNU5","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG013127","PA2c domain-containing protein.","phospholipase A2",NA,"arachidonate secretion; lipid catabolic process; phospholipid metabolic process","phospholipase A2 activity","It is involved in the biological process described with phospholipid metabolic process",NA,"Phospholip_A2_2","Phospholipase A2-like, central domain","Phospholipase A2","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GNU8","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG013130","Protein YIPF.","Protein YIPF",NA,"endoplasmic reticulum to Golgi vesicle-mediated transport",NA,"Yip1 domain","YIPF6","Yip1","Yip1 domain","Yip1 domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GNX0","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG013157","Uncharacterized protein.",NA,NA,NA,NA,"translation",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GP12","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG013219","Methionine aminopeptidase; Cotranslationally removes the N-terminal methionine from nascent proteins. The N-terminal methionine is often cleaved when the second residue in the primary sequence is small and uncharged (Met- Ala-, Cys, Gly, Pro, Ser, Thr, or Val).","Methionine aminopeptidase","Cotranslationally removes the N-terminal methionine from nascent proteins. The N-terminal methionine is often cleaved when the second residue in the primary sequence is small and uncharged (Met-Ala-, Cys, Gly, Pro, Ser, Thr, or Val)","proteolysis","initiator methionyl aminopeptidase activity; metalloaminopeptidase activity; zinc ion binding","Removes the N-terminal methionine from nascent proteins. The N-terminal methionine is often cleaved when the second residue in the primary sequence is small and uncharged (Met-Ala-, Cys, Gly, Pro, Ser, Thr, or Val)","METAP1","Peptidase_M24,zf-C6H2","Peptidase M24","Metallopeptidase family M24","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GP53","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG013278","NR LBD domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GPF1","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG013415","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GPM1","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG013505","Uncharacterized protein.","E3 ubiquitin-protein ligase",NA,"DNA repair; proteasome-mediated ubiquitin-dependent protein catabolic process; protein polyubiquitination; regulation of signal transduction","ubiquitin protein ligase activity; zinc ion binding","WWE domain",NA,"HECT,WWE","E3 ubiquitin-protein ligase TRIP12-like, TPR repeats","E3 ubiquitin-protein ligase TRIP12-like, TPR repeats","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GPN4","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG013528","Uncharacterized protein.",NA,NA,"protein localization","protein kinase binding","Neurobeachin","LRBA","Beach,DUF1088,DUF4704,Laminin_G_3,PH_BEACH,WD40","Neurobeachin-like, DUF1088","Neurobeachin-like, DUF1088","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GPS6","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG013576","RNase H domain-containing protein.","ribonuclease H",NA,"DNA replication, removal of RNA primer","nucleic acid binding; RNA-DNA hybrid ribonuclease activity",NA,NA,NA,"Ribonuclease H domain","RNase H","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GPU8","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG013614","ANK_REP_REGION domain-containing protein.",NA,NA,"cell differentiation; Notch signaling pathway",NA,"NODP","NOTCH1","Ank,Ank_2,Ank_4,Ank_5,DUF3454,EGF,EGF_CA,NOD,NODP,Notch,hEGF","Notch, NOD domain","NOTCH protein","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GQ91","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG013827","Uncharacterized protein.",NA,NA,NA,NA,"Eukaryotic protein of unknown function (DUF872)","TMEM134","DUF872","Transmembrane protein 230/134","Transmembrane proteins 230/134","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GQU6","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG014126","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GR14","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG014223","BZIP domain-containing protein.",NA,NA,NA,"DNA-binding transcription factor activity",NA,NA,NA,"Basic-leucine zipper domain","bZIP transcription factor","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GR75","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG014290","Nibrin.","Nibrin",NA,"double-strand break repair via homologous recombination; meiotic cell cycle; mitotic G2 DNA damage checkpoint signaling; telomere maintenance","ATP binding; damaged DNA binding","Second BRCT domain on Nijmegen syndrome breakage protein","NBN","BRCT,FHA,NIBRIN_BRCT_II,Nbs1_C,RTT107_BRCT_5","Nibrin, second BRCT domain","Second BRCT domain on Nijmegen syndrome breakage protein","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GR85","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG014302","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GRH9","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG014445","Uncharacterized protein.",NA,NA,"microtubule anchoring at centrosome",NA,"Ninein-like","NINL","EF-hand_7",NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GRS0","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG014597","Uncharacterized protein.",NA,NA,NA,NA,"Reverse transcriptase (RNA-dependent DNA polymerase)",NA,"RVT_2,rve",NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GS49","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG014779","RBR-type E3 ubiquitin transferase.","RBR-type E3 ubiquitin transferase",NA,"protein ubiquitination","ubiquitin-protein transferase activity; zinc ion binding","In Between Ring fingers","ARIH1","IBR,zf-C3HC4,zf-C3HC4_2","IBR domain","IBR domain, a half RING-finger domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GSS4","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG015087","Protein transport protein SEC23; Component of the coat protein complex II (COPII) which promotes the formation of transport vesicles from the endoplasmic reticulum (ER). The coat has two main functions, the physical deformation of the endoplasmic reticulum membrane into vesicles and the selection of cargo molecules; Belongs to the SEC23/SEC24 family. SEC23 subfamily.","Protein transport protein SEC23","Component of the coat protein complex II (COPII) which promotes the formation of transport vesicles from the endoplasmic reticulum (ER). The coat has two main functions, the physical deformation of the endoplasmic reticulum membrane into vesicles and the selection of cargo molecules","COPII-coated vesicle cargo loading; intracellular protein transport","GTPase activator activity; zinc ion binding","Protein transport protein sec23","SEC23A","Gelsolin,Sec23_BS,Sec23_helical,Sec23_trunk,zf-Sec23_Sec24","Sec23/Sec24, beta-sandwich","Sec23/Sec24 beta-sandwich domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GT83","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG015350","Reverse transcriptase domain-containing protein.","RNA-directed DNA polymerase",NA,"DNA biosynthetic process","catalytic activity","K02A2.6-like",NA,"RVT_1,Retrotrans_gag,rve,zf-CCHC,zf-H2C2","Reverse transcriptase domain","Reverse transcriptase (RNA-dependent DNA polymerase)","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GTH0","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG015467","Polypeptide N-acetylgalactosaminyltransferase.","Polypeptide N-acetylgalactosaminyltransferase",NA,"protein O-linked glycosylation","carbohydrate binding; polypeptide N-acetylgalactosaminyltransferase activity","Ricin-type beta-trefoil","gly-5","Glycos_transf_2,Ricin_B_lectin","Glycosyltransferase 2-like","Glycosyl transferase family 2","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GTM1","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG015560","Uncharacterized protein; Belongs to the nucleosome assembly protein (NAP) family.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GTM7","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG015568","Cystathionine beta-synthase; Belongs to the cysteine synthase/cystathionine beta- synthase family.","Cystathionine beta-synthase","Hydro-lyase catalyzing the first step of the transsulfuration pathway, where the hydroxyl group of L-serine is displaced by L-homocysteine in a beta-replacement reaction to form L-cystathionine, the precursor of L-cysteine. This catabolic route allows the elimination of L-methionine and the toxic metabolite L-homocysteine. Also involved in the production of hydrogen sulfide, a gasotransmitter with signaling and cytoprotective effects on neurons","anterograde synaptic vesicle transport; cysteine biosynthetic process from serine; cysteine biosynthetic process via cystathionine; Golgi to vacuole transport; neurotransmitter receptor transport, postsynaptic endosome to lysosome; protein targeting to vacuole; synaptic vesicle budding from endosome; synaptic vesicle membrane organization","cystathionine beta-synthase activity","Belongs to the adaptor complexes large subunit family","AP3D1","AP3D1,Adaptin_N","Clathrin/coatomer adaptor, adaptin-like, N-terminal","Adaptin N terminal region","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GTN3","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG015580","Peptidyl-prolyl cis-trans isomerase; PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GTN5","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG015582","CRAL-TRIO domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GTQ3","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG015609","SANT domain-containing protein.",NA,NA,"regulation of transcription by RNA polymerase II",NA,"SANT  SWI3, ADA2, N-CoR and TFIIIB'' DNA-binding domains","gei-8","GPS2_interact,Myb_DNA-binding","N-CoR, GPS2-interacting domain","G-protein pathway suppressor 2-interacting domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GTR5","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG015621","Uncharacterized protein.",NA,NA,"protein localization","protein kinase A binding","Regulator of G protein signalling domain","AKAP10","RGS","RGS domain","Regulator of G protein signaling domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GU89","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG015869","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GUI2","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG015997","Uncharacterized protein.","Uracil phosphoribosyltransferase homolog",NA,NA,NA,"Uracil phosphoribosyltransferase","UPRT","UPRTase","Phosphoribosyltransferase domain","Uracil phosphoribosyltransferase","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GUJ6","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG016021","Uncharacterized protein; Belongs to the CDC50/LEM3 family.",NA,NA,NA,NA,"LEM3 (ligand-effect modulator 3) family / CDC50 family","TMEM30A","CDC50","CDC50/LEM3 family","LEM3 (ligand-effect modulator 3) family / CDC50 family","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GUP1","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG009340","GB1/RHD3-type G domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GUQ1","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG016099","Spastin; ATP-dependent microtubule severing protein. Microtubule severing may promote reorganization of cellular microtubule arrays and the release of microtubules from the microtubule organizing center following nucleation; Belongs to the AAA ATPase family. Spastin subfamily.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GUV3","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG016160","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GUV4","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG016161","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GUX7","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG016191","Uncharacterized protein.","RNA helicase",NA,"spliceosomal complex disassembly","ATP binding; hydrolase activity; RNA binding; RNA helicase activity","ATP-dependent RNA helicase","DHX8","DEAD,HA2,Helicase_C,OB_NTP_bind,S1","S1 domain","S1 RNA binding domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GV08","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG016231","DUF4149 domain-containing protein.","TMEM205-like domain-containing protein",NA,NA,NA,"Domain of unknown function (DUF4149)","TMEM205","DUF4149","TMEM205-like","Domain of unknown function (DUF4149)","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GV15","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG016238","Uncharacterized protein; Belongs to the class-I aminoacyl-tRNA synthetase family.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GV54","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG016301","HMG box domain-containing protein.",NA,NA,"brain development; negative regulation of transcription by RNA polymerase II; neuron differentiation","DNA-binding transcription activator activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding","SOX transcription factor","SOX2","HMG_box,SOXp","Transcription factor SOX","SOX transcription factor","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GVG0","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG016448","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GVG6","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG016454","Arf-GAP domain-containing protein.",NA,NA,"COPI coating of Golgi vesicle","GTPase activator activity","ARF GTPase activator activity. It is involved in the biological process described with regulation of ARF GTPase activity","ARFGAP2","ArfGap","Arf GTPase activating protein","Putative GTPase activating protein for Arf","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GVH7","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG016471","BAH domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GVN2","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG016583","Uncharacterized protein.",NA,NA,"regulation of transcription by RNA polymerase II","transcription corepressor activity","ELM2","RCOR3","ELM2,Myb_DNA-binding","ELM2 domain","ELM2 domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GWS6","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG017225","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GX42","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG017400","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GXI3","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG017609","Histone-lysine N-methyltransferase.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GXI4","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG017612","Plug_translocon domain-containing protein.",NA,NA,NA,NA,"pronephric nephron development","sec61a1","Plug_translocon,SecY","Translocon Sec61/SecY, plug domain","Plug domain of Sec61p","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GXK9","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG017656","FAM193_C domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GXQ2","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG000426","Uncharacterized protein.","Reverse transcriptase Ty1/copia-type domain-containing protein",NA,NA,NA,"Reverse transcriptase (RNA-dependent DNA polymerase)",NA,"RVT_2,Retrotran_gag_2,rve",NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GY18","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG017904","Uncharacterized protein.",NA,NA,"regulation of cell cycle; regulation of mRNA splicing, via spliceosome","RNA binding","double strand RNA binding domain from DEAD END PROTEIN 1","SON","DND1_DSRM,G-patch,RSRP,dsrm","Double-stranded RNA-binding domain","Double-stranded RNA binding motif","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GY39","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG017953","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GYJ6","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG018204","Uncharacterized protein.",NA,NA,NA,"mRNA binding; zinc ion binding","Zinc knuckle",NA,"RRM_1,zf-CCHC","RNA recognition motif domain","RNA recognition motif","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GYP6","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG018278","BTB domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GYQ8","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG018290","Malic enzyme.","Malic enzyme",NA,"malate metabolic process","malate dehydrogenase (decarboxylating) (NADP+) activity; metal ion binding; NAD binding","malic enzyme","ME1","Malic_M,malic","Malic enzyme, NAD-binding","Malic enzyme, NAD binding domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GZ11","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG018421","BTB domain-containing protein.",NA,NA,"germ cell development",NA,"Germ cell-less","GMCL1","BACK,BTB","BTB/POZ domain","BTB/POZ domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GZ82","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG018534","YchF-GTPase_C domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GZG4","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG018673","C2H2-type domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GZU3","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG018905","RBR-type E3 ubiquitin transferase.","RBR-type E3 ubiquitin transferase",NA,"protein ubiquitination; regulation of macromolecule metabolic process","ubiquitin-protein transferase activity; zinc ion binding","Zinc finger protein","ARIH2","IBR","Ariadne domain","Ariadne domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GZZ1","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG018973","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182H006","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG018988","Uncharacterized protein.",NA,NA,"ribosomal small subunit biogenesis","RNA binding",NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182H022","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG019013","DAGKc domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182H044","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG019046","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182H086","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG019112","Malic enzyme.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
